Player,Pos,Squad,IsolationForest_Outlier,LOF_Outlier,Both_Methods_Outlier,LOF_Score
Lucas Paquetá,MF,West Ham,True,False,False,1.4715357022733324
Luis Díaz,FW,Liverpool,False,False,False,1.0742045526496606
Luis Guilherme,MF,West Ham,False,False,False,1.0179961572977092
Luis Sinisterra,FW,Bournemouth,False,False,False,1.2497541137882657
Luke Shaw,DF,Manchester Utd,False,False,False,1.1692758039134412
Luke Thomas,DF,Leicester City,False,False,False,1.0769857368800597
Luke Woolfenden,DF,Ipswich Town,False,False,False,1.1018274194219355
Mads Hermansen,GK,Leicester City,False,False,False,1.1493464779022902
Mads Roerslev,DF,Brentford,False,False,False,1.0768613993739433
Malo Gusto,DF,Chelsea,False,False,False,1.0529963522401284
Manuel Akanji,DF,Manchester City,False,False,False,1.0981736031374458
Manuel Ugarte,MF,Manchester Utd,False,False,False,1.040735719732786
Marc Cucurella,DF,Chelsea,False,False,False,1.1623537981940921
Marc Guiu,FW,Chelsea,False,False,False,0.995226457961102
Marc Guéhi,DF,Crystal Palace,False,False,False,1.0585314347233938
Marco Asensio,MF,Aston Villa,False,False,False,1.2553711277875208
Marcos Senesi,DF,Bournemouth,False,False,False,1.3150320575287773
Marcus Harness,MF,Ipswich Town,False,True,False,1.851752687691239
Marcus Rashford,FW,Aston Villa,False,False,False,1.3081087236745534
Marcus Rashford,FW,Manchester Utd,False,False,False,1.1658874786744746
Marcus Tavernier,FW,Bournemouth,False,False,False,1.1965479766325442
Mario Lemina,MF,Wolves,False,False,False,1.178800607056625
Mark Flekken,GK,Brentford,True,False,False,1.3595801684184905
Mark Travers,GK,Bournemouth,False,True,False,1.8944431603120762
Marshall Munetsi,MF,Wolves,False,False,False,1.0626132781105164
Martial Godo,FW,Fulham,False,True,False,2.705119835907838
Martin Dúbravka,GK,Newcastle Utd,False,False,False,1.530308113158984
Martin Ødegaard,MF,Arsenal,True,False,False,1.252297138497389
Mason Holgate,FW,Everton,False,False,False,0.9910474082708973
Mason Mount,MF,Manchester Utd,False,False,False,1.1876608601488916
Massimo Luongo,MF,Ipswich Town,False,True,False,2.18213791397124
Mateo Kovačić,MF,Manchester City,True,False,False,1.3933354169990972
Mateus Fernandes,MF,Southampton,True,False,False,1.1572691177287093
Mateus Mane,MF,Wolves,False,False,False,1.195331536960844
Matheus Cunha,MF,Wolves,True,True,True,1.6388687693607218
Matheus França,MF,Crystal Palace,False,True,False,1.6833352237886199
Matheus Nunes,DF,Manchester City,False,False,False,1.1912269053900728
Mathias Jensen,MF,Brentford,False,False,False,1.3252181731136692
Mathis Amougou,MF,Chelsea,False,False,False,0.9937513585066899
Mathys Tel,FW,Tottenham,False,False,False,1.1585504035603171
Mats Wieffer,DF,Brighton,False,False,False,1.0656363258893955
Matt Doherty,DF,Wolves,False,False,False,1.1228951874338753
Matt O'Riley,MF,Brighton,False,False,False,1.2841118990328284
Matt Targett,DF,Newcastle Utd,False,True,False,3.8612228443171097
Matthijs de Ligt,DF,Manchester Utd,False,False,False,1.061169995897988
Matty Cash,DF,Aston Villa,False,False,False,1.0609963887289484
Matz Sels,GK,Nott'ham Forest,False,False,False,1.202238402181953
Max Aarons,DF,Bournemouth,False,True,False,1.776634091923114
Max Kilman,DF,West Ham,False,False,False,1.0556894550110667
Maxence Lacroix,DF,Crystal Palace,False,False,False,1.1614078103905785
Maxwel Cornet,FW,Southampton,False,False,False,1.0889418262572632
Michael Golding,MF,Leicester City,False,False,False,1.186247053520898
Michael Kayode,DF,Brentford,False,False,False,1.3782845720540182
Michael Keane,DF,Everton,False,False,False,1.1847128610126925
Michail Antonio,FW,West Ham,False,True,False,1.733579420851876
Micky van de Ven,DF,Tottenham,False,False,False,1.0818320831652786
Miguel Almirón,FW,Newcastle Utd,False,False,False,1.0387461021008946
Mikel Merino,MF,Arsenal,False,False,False,1.1222112827923456
Mikey Moore,FW,Tottenham,False,False,False,1.423681711031549
Mikkel Damsgaard,MF,Brentford,True,False,False,1.2789487320012665
Milos Kerkez,DF,Bournemouth,True,False,False,1.156181360393163
Mohamed Salah,FW,Liverpool,True,True,True,2.2084459244476475
Mohammed Kudus,FW,West Ham,False,False,False,1.2505953061845327
Moisés Caicedo,MF,Chelsea,True,False,False,1.2307726392595701
Morato,DF,Nott'ham Forest,False,False,False,1.179314187294755
Morgan Gibbs-White,MF,Nott'ham Forest,True,False,False,1.3224871176701996
Morgan Rogers,FW,Aston Villa,True,False,False,1.2014422937202744
Murillo,DF,Nott'ham Forest,False,False,False,1.2772222599218135
Mykhailo Mudryk,FW,Chelsea,False,False,False,1.4191730847155921
Myles Lewis-Skelly,DF,Arsenal,False,False,False,1.1363741758113846
Nasser Djiga,DF,Wolves,False,False,False,1.3254898057522966
Nathan Aké,DF,Manchester City,False,False,False,1.140521285727456
Nathan Broadhead,MF,Ipswich Town,False,False,False,1.0231249703233531
Nathan Butler-Oyedeji,FW,Arsenal,False,True,False,2.1198249469848243
Nathan Collins,DF,Brentford,False,False,False,1.0923216375987974
Nathan Patterson,DF,Everton,False,False,False,1.1186401331869695
Nathan Wood-Gordon,DF,Southampton,False,False,False,1.1421118431004922
