antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'shooting_Standard_Gls_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'passing_Ast_category=Low'}),0.3344947735191638,0.524390243902439,0.29442508710801396,0.8802083333333334,1.6785368217054264,1.0,0.11901929123820856,3.970307529162249,0.6074227826140836,0.5216049382716049,0.748130341880342,0.7208350636766334
frozenset({'shooting_Expected_xG_category=Low'}),frozenset({'passing_Ast_category=Low'}),0.343205574912892,0.524390243902439,0.30139372822299654,0.8781725888324874,1.6746547042852085,1.0,0.12142007308574829,3.903963414634149,0.6133760598580211,0.5323076923076925,0.7438500585708709,0.7264617096986357
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low'})",0.28222996515679444,0.3310104529616725,0.24738675958188153,0.8765432098765431,2.648083170890188,1.0,0.15396569097597396,5.418815331010449,0.8670860112129084,0.676190476190476,0.815457818930041,0.8119558154645874
"frozenset({'passing_xAG_category=High', 'shooting_Expected_xG_category=High'})",frozenset({'shooting_Standard_Gls_category=High'}),0.22473867595818817,0.3153310104529617,0.19686411149825783,0.8759689922480619,2.777934815195511,1.0,0.12599703772050164,5.520143728222992,0.8255543402605151,0.5736040609137055,0.8188452965658715,0.7501391922566276
frozenset({'shooting_Expected_xG_category=Low'}),"frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low'})",0.343205574912892,0.397212543554007,0.29442508710801396,0.8578680203045685,2.1597203669071154,1.0,0.15809952773494884,4.241040318566451,0.8175725519124825,0.66015625,0.7642087966902381,0.7995480452400037
"frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'shooting_Standard_SoT%_category=Low'}),0.2682926829268293,0.3344947735191638,0.22996515679442509,0.8571428571428571,2.5624999999999996,1.0,0.1402226565819665,4.658536585365852,0.8333333333333333,0.616822429906542,0.7853403141361256,0.7723214285714285
frozenset({'passing_xAG_category=Low'}),"frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low'})",0.37456445993031356,0.397212543554007,0.3205574912891986,0.8558139534883721,2.154549163606691,1.0,0.1717757894353458,4.180622681802854,0.8567881797262927,0.7104247104247103,0.7608011829546982,0.8314157486740106
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low'})",frozenset({'passing_Ast_category=Low'}),0.32578397212543553,0.524390243902439,0.2787456445993031,0.8556149732620321,1.631637855988061,1.0,0.10790770799694058,3.294037940379403,0.5741763565891472,0.4878048780487805,0.6964212258329905,0.6935882175280259
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Expected_xG_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low'})",0.27526132404181186,0.3310104529616725,0.23519163763066203,0.8544303797468354,2.5812791472351764,1.0,0.1440772620767522,4.595667323132859,0.8452635327635328,0.6338028169014085,0.7824037447257383,0.7824783477681545
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'passing_xAG_category=Low'}),0.27526132404181186,0.37456445993031356,0.23519163763066203,0.8544303797468354,2.2811304091845748,1.0,0.13208852845123775,4.296470231783064,0.774928774928775,0.5672268907563026,0.7672508021578929,0.7411686782455108
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'passing_xAG_category=Low'}),0.27526132404181186,0.37456445993031356,0.23519163763066203,0.8544303797468354,2.2811304091845748,1.0,0.13208852845123775,4.296470231783064,0.774928774928775,0.5672268907563026,0.7672508021578929,0.7411686782455108
"frozenset({'shooting_Standard_Gls_category=High', 'shooting_Standard_SoT%_category=High'})",frozenset({'shooting_Expected_xG_category=High'}),0.18989547038327526,0.32752613240418116,0.16202090592334495,0.8532110091743119,2.6050165918407187,1.0,0.09982517694763807,4.581228222996516,0.7605503526419238,0.4558823529411765,0.7817179255597281,0.6739459301190709
"frozenset({'passing_Ast_category=Low', 'passing_xAG_category=Low', 'shooting_Expected_xG_category=Low'})","frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low'})",0.2700348432055749,0.32578397212543553,0.22996515679442509,0.8516129032258064,2.61404174573055,1.0,0.1419921329626437,4.543629753067716,0.8458631662688941,0.6285714285714286,0.779911644577811,0.7787476280834915
